name,item_num,price,rating
Big Agnes   Copper Spur HV UL2 Tent,Item #164193, $317.89,4.2
REI Co-op   Pack-Away Cube,Item #186175, $10.93,4.9
The North Face   Wawona 6 Tent,Item #204311, $299.99,4.4
REI Co-op   Outward Classic Lawn Chair,Item #186013, $62.89,4.4
REI Co-op   Siesta Hooded 20 Sleeping Bag,Item #217490, $97.29,4.6
Deuter   Kid Comfort Child Carrier,Item #147417, $239.99,4.8
The North Face   Wawona 4 Tent,Item #204310, $239.99,4.3
Kelty   Low Loveseat,Item #186918, $97.39,4.8
REI Co-op   Magma 30 Sleeping Bag,Item #228707, $265.29,4.3
REI Co-op   Helix Insulated Air Sleeping Pad,Item #202288, $118.29,4.2
REI Co-op   Flexlite Air Chair,Item #148036, $69.89,4.1
Kammok   Roo Double Recycled Hammock,Item #203274, $63.69,4.9
MSR   Hubba Hubba 2 Tent,Item #220543, $329.89,3.3
REI Co-op   Skyward 4 Tent,Item #202274, $186.83,3.9
Big Agnes   Boundary Deluxe Insulated Sleeping Pad,Item #216059, $107.89,4.8
SOL   Flat Pack Collapsible Sink - 16 Liters,Item #189488, $17.19,4.7
GSI Outdoors   Rakau Knife Set,Item #189676, $59.89,4.7
REI Co-op   Base Camp 4 Tent,Item #227740, $331.79,4.4
Big Agnes   Sidewinder SL 20 Sleeping Bag - Men's,Item #187788, $149.89,4.2
Igloo   x Parks Project Playmate Cooler - 16 qts. - Vintage Green,Item #208988, $44.89,4.3
REI Co-op   Half Dome SL 2+ Tent with Footprint,Item #185632, $244.29,4.2
Petzl   Actik Core Headlamp,Item #203906, $63.69,3.7
PackTowl   Personal Towel,Item #221819, $11.89,4.3
Gregory   Nano 18 H2O Hydration Pack,Item #218021, $59.89,4.7
REI Co-op   Traverse 60 Pack - Women's,Item #185561, $181.29,4.2
REI Co-op   Magma 15 Sleeping Bag,Item #228704, $300.29,4.4
REI Co-op   Zephyr 25 Sleeping Bag,Item #228705, $139.89,4.0
Osprey   Talon 22 Pack - Men's,Item #177573, $119.99,4.5
Alpine Mountain Gear   Weekender Tent 4,Item #189281, $59.73,3.7
AeroPress   Go Travel Coffee Press,Item #173365, $34.89,4.8
